,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度
40,臺北市北投區明德路91~120號,35.0,4.0,4,46,97.44,2,2,1,0,13200000,135468,RPPNMLOLJIOFFEA77CA,1,1,0,108,416824.6153846154,107.6923076923077,299.8153846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1090387,121.5188432
41,臺北市北投區三合街一段117巷31~60號,41.92,9.0,4,3,237.10000000000002,3,2,2,1,48000000,229023,RPXPMLKLJIOFFEA38CA,1,1,1,108,704686.1538461539,128.98461538461538,729.5384615384615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.125501,121.5044272
42,臺北市北投區文林北路1~30號,41.59,14.0,4,8,180.62,3,2,2,1,30000000,166095,RPROMLTLJIOFFEA68DA,2,1,1,108,511061.53846153844,127.96923076923078,555.7538461538461,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.107567,121.5143293
43,臺北市北投區明德路267巷1~30號,22.26,11.0,4,8,87.75999999999999,2,1,1,1,16000000,182315,RPQOMLSKKIOFFEA48DA,1,1,0,108,560969.2307692308,68.49230769230769,270.0307692307692,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1143787,121.5221575
44,臺北市北投區行義路186巷1~30號,11.01,6.0,4,35,43.65,1,1,1,1,4900000,112257,RPQOMLMLJIOFFEA87DA,2,1,0,108,345406.1538461538,33.87692307692308,134.3076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.132623,121.528973
45,臺北市北投區行義路121~150號,12.63,8.0,4,40,84.09,2,2,1,1,8000000,95136,RPQNMLNLJIOFFEA87DA,2,1,0,108,292726.1538461538,38.861538461538466,258.73846153846154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1285057,121.529186
46,臺北市北投區稻香路31~60號,38.72,7.0,4,3,184.31,3,2,2,1,20600000,111768,RPQOMLLKKHPFFEA67CA,1,1,1,108,343901.53846153844,119.13846153846153,567.1076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1392684,121.4901732
47,臺北市北投區三合街一段117巷38弄1~30號,35.18,9.0,4,3,210.36,3,2,2,1,37450000,204040,RPVPMLMKKIOFFEA38CA,1,1,1,108,627815.3846153846,108.24615384615385,647.2615384615385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1253451,121.504026
48,臺北市北投區三合街一段117巷38弄1~30號,35.18,9.0,4,3,210.36,3,2,2,1,38880000,211827,RPRPMLRKKIOFFEA48CA,1,1,1,108,651775.3846153846,108.24615384615385,647.2615384615385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1253451,121.504026
49,臺北市北投區公?路391~420號,15.41,14.0,4,23,70.66,1,2,1,1,10880000,153977,RPTNMLLLJIOFFEA87CA,1,1,0,108,473775.3846153846,47.41538461538462,217.4153846153846,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1151759,121.515018
50,臺北市北投區磺港路121~150號,31.93,18.0,4,2,295.11,4,2,2,1,46000000,190611,RPTNMLMLJIOFFEA97CA,1,1,2,105,586495.3846153846,98.24615384615385,908.0307692307692,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1298243,121.5035223
51,臺北市北投區磺港路121~150號,30.98,18.0,4,2,288.6,3,2,2,1,43360000,185904,RPUNMLMLJIOFFEA08CA,1,1,2,105,572012.3076923076,95.32307692307693,888.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1298243,121.5035223
52,臺北市北投區磺港路121~150號,21.9,18.0,4,2,188.35000000000002,3,2,2,1,28940000,180051,RPVNMLMLJIOFFEA18CA,1,1,1,104,554003.0769230769,67.38461538461537,579.5384615384615,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1298243,121.5035223
53,臺北市北投區磺港路121~150號,30.51,18.0,4,2,247.38,4,2,2,1,47000000,212705,RPXNMLMLJIOFFEA38CA,1,1,1,104,654476.923076923,93.87692307692308,761.1692307692307,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1298243,121.5035223
54,臺北市北投區磺港路121~150號,30.98,18.0,4,2,288.6,3,2,2,1,45800000,193159,RPOOMLMLJIOFFEA57CA,1,1,2,104,594335.3846153846,95.32307692307693,888.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1298243,121.5035223
55,臺北市北投區文林北路80巷60弄1~30號,62.33,3.0,3,49,123.34,4,2,3,0,23800000,192963,RPRPMLKLJIOFFEA77CA,5,1,0,108,593732.3076923076,191.78461538461536,379.5076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1063281,121.5195562
56,臺北市北投區致遠一路一段90巷1~30號,33.75,4.0,4,50,85.79,3,2,1,0,8800000,102576,RPSNMLMJKIOFFEA77CA,1,1,0,108,315618.4615384615,103.84615384615384,263.96923076923076,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1095802,121.5155629
57,臺北市北投區文林北路94巷121~150號,30.67,3.0,3,49,56.97,1,1,1,0,14600000,256275,RPXNMLTKKIOFFEA09CA,1,1,0,108,788538.4615384615,94.36923076923077,175.29230769230767,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1072789,121.5197828
58,臺北市北投區中央北路二段31~60號,17.0,5.0,4,44,86.45,2,2,1,0,9360000,108271,RPTOMLTKKIOFFEA78CA,1,1,0,108,333141.53846153844,52.30769230769231,266.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.136627,121.49561
59,臺北市北投區三合街一段82巷121~150號,44.36,9.0,4,2,251.32999999999998,3,2,2,0,47500000,213296,RPTPMLQLJIOFFEA58CA,1,1,2,108,656295.3846153846,136.4923076923077,773.3230769230769,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1298463,121.5040032
60,臺北市北投區裕民六路1~30號,9.63,18.0,4,13,141.76,2,2,1,1,25280000,178330,RPUOMLLLJIOFFEA08CA,1,1,1,108,548707.6923076923,29.630769230769232,436.18461538461537,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1134214,121.5169416
61,臺北市北投區復興二路60巷1~30號,44.47,8.0,4,26,73.99,2,2,1,1,8000000,108123,RPPOMLNJKIOFFEA77DA,3,1,0,108,332686.1538461538,136.83076923076922,227.66153846153844,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.144646,121.504035
62,臺北市北投區公?路161巷1~30號,136.7,5.0,4,6,294.28,3,2,2,1,38660000,131376,RPQQMLRKKIOFFEA48CA,2,1,2,108,404233.8461538461,420.6153846153846,905.476923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1291524,121.5063462
63,臺北市北投區崗山路8巷1~30號,21.63,7.0,4,2,114.6,2,2,1,0,14080000,148991,RPSNMLLKKIOFFEA77CA,1,1,1,108,458433.8461538461,66.55384615384615,352.6153846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1405517,121.4871673
64,臺北市北投區天母西路117巷61~90號,24.57,6.0,4,23,84.39,2,1,1,1,15080000,178694,RPSNMLPLJIOFFEA18CA,1,1,0,108,549827.6923076923,75.6,259.66153846153844,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.121943,121.524729
65,臺北市北投區三合街一段79巷1~30號,24.41,9.0,4,5,154.81,1,1,2,1,24680000,205137,RPVOMLNJKIOFFEA28CA,1,1,1,108,631190.7692307692,75.1076923076923,476.3384615384615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1255142,121.5055679
66,臺北市北投區三合街一段79巷1~30號,24.41,9.0,4,5,154.81,1,1,2,1,24680000,205137,RPWOMLNJKIOFFEA38CA,1,1,1,108,631190.7692307692,75.1076923076923,476.3384615384615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1255142,121.5055679
67,臺北市北投區公?路161巷1~30號,92.17,5.0,4,6,204.27999999999997,3,2,1,1,28350000,152408,RPQNMLNJKIOFFEA67CA,2,1,1,108,468947.6923076923,283.6,628.553846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1291524,121.5063462
68,臺北市北投區中央北路一段167巷1弄31~60號,27.0,2.0,3,50,39.81,2,1,1,0,6300000,158252,RPVNMLKLKIOFFEA08CA,1,1,0,108,486929.23076923075,83.07692307692308,122.49230769230769,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.134873,121.497372
69,臺北市北投區中山北路七段219巷3弄121~150號,23.64,7.0,4,37,116.84,3,2,2,1,13200000,112975,RPOOMLRLJIOFFEA08CA,1,1,0,108,347615.3846153846,72.73846153846154,359.5076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1276543,121.5300436
70,臺北市北投區承德路七段112巷1~30號,25.75,4.0,4,26,76.84,2,1,1,0,9000000,117126,RPPOMLRLJIOFFEA18CA,1,1,0,108,360387.6923076923,79.23076923076923,236.43076923076924,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.112399,121.509805
71,臺北市北投區文化三路151~180號,22.38,10.0,4,2,94.63,2,1,1,1,14500000,153228,RPPNMLQLJIOFFEA97CA,1,1,0,106,471470.7692307692,68.86153846153846,291.16923076923075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1404883,121.4989677
72,臺北市北投區立農街一段571~600號,36.41,5.0,4,37,124.22,2,1,1,0,15500000,124779,RPQOMLNJKIOFFEA87DA,1,1,0,108,383935.3846153846,112.03076923076921,382.2153846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1193823,121.5108325
73,臺北市北投區明德路136巷1~30號,33.95,5.0,4,40,130.73,3,1,2,0,16800000,128509,RPWNMLSLJIOFFEA98DA,1,1,0,108,395412.3076923077,104.46153846153847,402.2461538461538,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.110259,121.5207749
74,臺北市北投區稻香路31~60號,38.72,7.0,4,3,184.31,3,2,2,1,21680000,117628,RPVPMLMKKHPFFEA38CA,1,1,1,108,361932.3076923077,119.13846153846153,567.1076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1392684,121.4901732
75,臺北市北投區中央北路三段182巷1~30號,22.54,5.0,4,40,85.06,4,2,1,0,3280000,38561,RPUNMLLKKIOFFEA97CA,1,1,0,108,118649.23076923077,69.35384615384615,261.7230769230769,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1370666,121.4815392
76,臺北市北投區同德街1~30號,17.38,15.0,4,16,103.21,1,1,1,1,19300000,186979,RPUPMLRLJIOFFEA78CA,1,1,1,108,575320.0,53.47692307692307,317.5692307692307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.1253233,121.5282582
77,臺北市北投區中央北路四段456巷5弄1~30號,41.45,4.0,4,40,99.59,3,1,1,0,9500000,95391,RPQPMLRLJIOFFEA38CA,3,1,0,108,293510.76923076925,127.53846153846155,306.4307692307692,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1294285,121.4696083
78,臺北市北投區立農街二段273巷3弄1~30號,26.12,5.0,4,42,85.25,3,2,1,0,11750000,137830,RPPNMLRLJIOFFEA08CA,1,1,0,108,424092.3076923077,80.36923076923077,262.3076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1192219,121.5151062
79,臺北市北投區吉利街280巷27弄1~30號,34.0,4.0,3,51,76.92,4,2,2,0,17300000,224909,RPQNMLRLJIOFFEA18CA,1,1,0,108,692027.6923076923,104.61538461538461,236.67692307692306,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1178583,121.5100794
80,臺北市北投區三合街一段117巷38弄1~30號,36.27,9.0,4,3,220.7,2,2,2,1,41720000,214309,RPRNMLRLJIOFFEA28CA,1,1,1,108,659412.3076923076,111.60000000000001,679.076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1253451,121.504026
81,臺北市北投區光明路151巷1~30號,16.21,27.0,4,7,212.84,4,2,2,1,33000000,155046,RPSNMLRLJIOFFEA38CA,1,1,1,108,477064.6153846154,49.87692307692308,654.8923076923077,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.135115,121.502039
